id,label
18001,1
18002,1
18003,0
18004,0
18005,1
18006,0
18007,0
18008,1
18009,1
18010,0
18011,1
18012,1
18013,1
18014,1
18015,1
18016,0
18017,0
18018,1
18019,0
18020,1
18021,0
18022,0
18023,1
18024,0
18025,1
18026,1
18027,1
18028,1
18029,1
18030,1
18031,0
18032,1
18033,1
18034,1
18035,1
18036,0
18037,1
18038,1
18039,0
18040,1
18041,1
18042,0
18043,1
18044,0
18045,1
18046,1
18047,0
18048,1
18049,0
18050,1
18051,1
18052,0
18053,0
18054,1
18055,0
18056,0
18057,1
18058,1
18059,1
18060,1
18061,0
18062,1
18063,1
18064,0
18065,0
18066,1
18067,1
18068,1
18069,0
18070,0
18071,0
18072,0
18073,0
18074,1
18075,0
18076,1
18077,1
18078,1
18079,1
18080,1
18081,1
18082,0
18083,0
18084,1
18085,1
18086,0
18087,1
18088,1
18089,1
18090,0
18091,1
18092,1
18093,1
18094,1
18095,0
18096,1
18097,0
18098,0
18099,1
18100,1
18101,0
18102,1
18103,1
18104,1
18105,1
18106,1
18107,1
18108,1
18109,0
18110,1
18111,1
18112,1
18113,0
18114,1
18115,1
18116,1
18117,0
18118,0
18119,1
18120,0
18121,1
18122,0
18123,1
18124,1
18125,0
18126,0
18127,0
18128,0
18129,0
18130,0
18131,0
18132,0
18133,1
18134,0
18135,0
18136,1
18137,0
18138,0
18139,1
18140,1
18141,0
18142,1
18143,1
18144,0
18145,0
18146,1
18147,0
18148,1
18149,1
18150,1
18151,0
18152,0
18153,1
18154,1
18155,1
18156,0
18157,1
18158,0
18159,0
18160,0
18161,1
18162,0
18163,0
18164,0
18165,1
18166,0
18167,0
18168,1
18169,0
18170,0
18171,1
18172,1
18173,1
18174,1
18175,0
18176,1
18177,0
18178,1
18179,1
18180,1
18181,1
18182,1
18183,1
18184,1
18185,1
18186,1
18187,1
18188,1
18189,0
18190,0
18191,1
18192,1
18193,1
18194,0
18195,0
18196,1
18197,0
18198,1
18199,0
18200,0
18201,1
18202,0
18203,1
18204,0
18205,0
18206,0
18207,0
18208,1
18209,0
18210,0
18211,0
18212,0
