id,label
18001,0
18002,1
18003,0
18004,0
18005,0
18006,1
18007,0
18008,0
18009,0
18010,0
18011,0
18012,0
18013,0
18014,0
18015,0
18016,0
18017,0
18018,0
18019,0
18020,0
18021,0
18022,0
18023,0
18024,0
18025,0
18026,0
18027,0
18028,0
18029,1
18030,1
18031,0
18032,1
18033,0
18034,0
18035,0
18036,0
18037,0
18038,0
18039,0
18040,0
18041,0
18042,0
18043,0
18044,0
18045,0
18046,0
18047,0
18048,0
18049,0
18050,0
18051,0
18052,0
18053,0
18054,0
18055,0
18056,0
18057,0
18058,1
18059,0
18060,1
18061,0
18062,0
18063,0
18064,0
18065,0
18066,0
18067,0
18068,0
18069,0
18070,0
18071,0
18072,0
18073,0
18074,0
18075,1
18076,0
18077,0
18078,1
18079,0
18080,0
18081,0
18082,0
18083,0
18084,0
18085,0
18086,0
18087,0
18088,0
18089,0
18090,0
18091,0
18092,0
18093,0
18094,0
18095,0
18096,0
18097,0
18098,0
18099,0
18100,0
18101,0
18102,0
18103,0
18104,1
18105,1
18106,0
18107,1
18108,0
18109,0
18110,0
18111,0
18112,0
18113,0
18114,1
18115,1
18116,0
18117,0
18118,0
18119,0
18120,0
18121,0
18122,0
18123,0
18124,0
18125,0
18126,0
18127,0
18128,0
18129,0
18130,0
18131,0
18132,0
18133,0
18134,0
18135,0
18136,0
18137,0
18138,0
18139,0
18140,1
18141,0
18142,0
18143,1
18144,0
18145,0
18146,1
18147,0
18148,0
18149,0
18150,0
18151,0
18152,0
18153,0
18154,1
18155,1
18156,0
18157,0
18158,0
18159,0
18160,0
18161,0
18162,0
18163,0
18164,0
18165,0
18166,1
18167,0
18168,1
18169,0
18170,0
18171,0
18172,0
18173,0
18174,1
18175,0
18176,0
18177,0
18178,0
18179,0
18180,1
18181,1
18182,0
18183,0
18184,0
18185,0
18186,1
18187,0
18188,1
18189,0
18190,0
18191,0
18192,0
18193,0
18194,1
18195,0
18196,1
18197,0
18198,0
18199,0
18200,0
18201,0
18202,0
18203,0
18204,0
18205,0
18206,0
18207,1
18208,0
18209,0
18210,0
18211,0
18212,0
18213,0
18214,0
18215,0
18216,0
18217,0
18218,0
18219,0
18220,0
18221,1
18222,0
18223,0
18224,0
18225,1
18226,0
18227,1
18228,0
18229,0
18230,1
18231,1
18232,1
18233,0
18234,1
18235,0
18236,1
18237,1
18238,1
18239,0
18240,1
18241,0
18242,0
18243,0
18244,0
18245,0
18246,0
18247,0
18248,1
18249,0
18250,0
18251,0
18252,1
18253,0
18254,0
18255,0
18256,0
18257,1
18258,0
18259,0
18260,0
18261,0
18262,0
18263,0
18264,1
18265,0
18266,0
18267,1
18268,0
18269,1
18270,0
18271,0
18272,0
18273,0
18274,0
18275,0
18276,1
18277,1
18278,0
18279,0
18280,0
18281,0
18282,0
18283,0
18284,0
18285,1
18286,0
18287,1
18288,0
18289,0
18290,0
18291,0
18292,1
18293,0
18294,1
18295,0
18296,0
18297,0
18298,0
18299,0
18300,0
18301,0
18302,1
18303,1
18304,0
18305,1
18306,0
18307,1
18308,0
18309,0
18310,0
18311,1
18312,0
18313,0
18314,0
18315,0
18316,0
18317,0
18318,0
18319,0
18320,0
18321,0
18322,0
18323,0
18324,1
18325,0
18326,0
18327,0
18328,0
18329,0
18330,0
18331,0
18332,1
18333,0
18334,0
18335,0
18336,0
18337,0
18338,0
18339,1
18340,0
18341,1
18342,0
18343,0
18344,0
18345,0
18346,0
18347,1
18348,0
18349,0
18350,0
18351,0
18352,0
18353,1
18354,0
18355,0
18356,0
18357,0
18358,0
18359,0
18360,0
18361,0
18362,0
18363,0
18364,1
18365,0
18366,0
18367,0
18368,0
18369,0
18370,0
18371,0
18372,0
18373,0
18374,0
18375,0
18376,0
18377,0
18378,0
18379,0
18380,0
18381,0
18382,0
18383,0
18384,0
18385,0
18386,0
18387,0
18388,0
18389,0
18390,0
18391,0
18392,0
18393,0
18394,0
18395,1
18396,0
18397,0
18398,0
18399,0
18400,1
18401,0
18402,1
18403,0
18404,0
18405,0
18406,0
18407,0
18408,0
18409,0
18410,0
18411,1
18412,0
18413,0
18414,0
