id,label
18001,1
18002,0
18003,0
18004,1
18005,1
18006,0
18007,0
18008,1
18009,1
18010,0
18011,0
18012,1
18013,0
18014,0
18015,1
18016,0
18017,1
18018,0
18019,1
18020,1
18021,1
18022,1
18023,1
18024,1
18025,1
18026,1
18027,1
18028,1
18029,1
18030,1
18031,0
18032,1
18033,1
18034,1
18035,1
18036,0
18037,1
18038,1
18039,1
18040,1
18041,0
18042,0
18043,1
18044,1
18045,1
18046,0
18047,1
18048,1
18049,1
18050,1
18051,0
18052,0
18053,0
18054,1
18055,0
18056,0
18057,1
18058,1
18059,1
18060,1
18061,1
18062,1
18063,1
18064,1
18065,1
18066,1
18067,1
18068,0
18069,0
18070,1
18071,0
18072,1
18073,0
18074,1
18075,1
18076,1
18077,1
18078,1
18079,1
18080,1
18081,0
18082,1
18083,0
18084,1
18085,1
18086,1
18087,1
18088,0
18089,1
18090,1
18091,0
18092,1
18093,1
18094,0
18095,0
18096,1
18097,0
18098,1
18099,0
18100,0
18101,0
18102,0
18103,1
18104,1
18105,0
18106,1
18107,1
18108,1
18109,0
18110,1
18111,1
18112,1
18113,0
18114,1
18115,1
18116,1
18117,1
18118,0
18119,0
18120,0
18121,0
18122,0
18123,1
18124,1
18125,0
18126,1
18127,0
18128,1
18129,1
18130,1
18131,0
18132,0
18133,0
18134,0
18135,1
18136,1
18137,1
18138,0
18139,0
18140,0
18141,0
18142,1
18143,1
18144,0
18145,0
18146,1
18147,1
18148,1
18149,1
18150,1
18151,0
18152,1
18153,1
18154,1
18155,0
18156,0
18157,1
18158,0
18159,1
18160,0
18161,0
18162,0
18163,1
18164,1
18165,1
18166,1
18167,1
18168,0
18169,1
18170,1
18171,1
18172,1
18173,0
18174,1
18175,0
18176,1
18177,0
18178,1
18179,1
18180,1
18181,1
18182,1
18183,1
18184,1
18185,1
18186,1
18187,1
18188,0
18189,0
18190,1
18191,1
18192,0
18193,1
18194,1
18195,0
18196,1
18197,0
18198,1
18199,0
18200,1
18201,0
18202,0
18203,0
18204,1
18205,1
18206,0
18207,1
18208,0
18209,0
18210,0
18211,0
18212,0
18213,0
18214,0
18215,0
18216,0
18217,1
18218,1
18219,1
18220,1
18221,0
18222,1
18223,1
18224,1
18225,0
18226,1
18227,1
18228,1
18229,1
18230,0
18231,0
18232,1
18233,0
18234,1
18235,1
18236,0
18237,0
18238,1
18239,1
18240,0
18241,1
18242,1
18243,1
18244,0
18245,0
18246,0
18247,1
18248,0
18249,0
18250,1
18251,0
18252,0
18253,0
18254,0
18255,0
18256,0
18257,1
18258,1
18259,0
18260,0
18261,0
18262,0
18263,0
18264,1
18265,0
18266,1
18267,1
18268,1
18269,1
18270,1
18271,1
18272,1
